,0
647,OC1=CC=CC(C=CC=O)=C1
648,OCC=CC1=CC=C(O)C=C1
649,COC1=CC=C(C=O)C=C1O
650,CCCCC1=CC=C(O)C=C1O
651,COC1=C(O)C=CC=C1C=O
652,CCCCCCCC1CCOC1=O
653,O=C1C=CC2CCC1C2
654,CCCCCCCCCCC=CCO
655,CCCCCCCCCC=CC=O
656,CCOC(C)OCCC=CCC
657,CC1=CC=C(C=O)C=C1C
658,C=CC1CC2CC1C=C2
659,CC1(CO)CC=CC1=O
660,CCC=CC=COCC(O)CO
661,CC=CC=CCCCCCCCO
662,CC1(C)CC12CCOC2=O
663,OC1C2CCC(C2)C1=C
664,CCCCC(CC)C(O)=O
665,CC(C)C(O)C(O)=O
666,O=C1CC2=CCCC2O1
667,CC=C1CC2CC1C=C2
668,CC(C)C(O)C(O)=O
669,CCCCC(CC)C(O)=O
670,CC=C1CC2CC1C=C2
671,CC1OOC(CCCO)C=C1
672,CCOCC1CC1C(O)=O
673,CC(C)C1CCC(C)CC1O
674,CC=CC1CC1C(O)=O
675,CC(O)C1CCC(CO)O1
676,OC1COC(O)C(O)C1O
677,OCC1OC=CC(O)C1O
678,CC1CC(C)C(O)OC1C
679,CCC1OC(O)C(O)C1O
680,OCC1OC=CC(O)C1O
681,OCC1OC(O)C(O)C1O
682,OC1C=CC(O)C(O)C1O
683,OC1C=CC(O)C(O)C1O
684,OC1C=CC(O)C(O)C1O
685,OC1C=CC(O)C(O)C1O
686,CC1OCC(O)C(O)C1O
687,OC1COC(O)C(O)C1O
688,CC1CC(O)C(O)CC1O
689,CC1CC(O)C(O)CC1O
690,CC1OC(O)CC(O)C1O
691,CC1CC(O)C(O)CC1O
692,CC1CC(O)C(O)CC1O
693,OCC1OC(O)C(O)C1O
694,OC1CC(O)C(O)CC1O
695,OC1CC2OC2C(O)C1O
696,CC1CC(O)C2OC2C1O
697,OC1CC2OC2C(O)C1O
698,OC1CC2OC2C(O)C1O
699,CC1=C(O)C=COC1=O
700,CCCCCCCCC1OOCCCOO1
701,OCCCCCCCCCCCC(O)=O
702,CCCCCCCCCCCC(O)=O
703,CC(C)CC1=CC=C(O)C=C1
704,CCCCCC1=CC=C(CO)C=C1
